        Zone      Season        Index    Path      Row       Acquisition     Scene_id                Julian Date      
        12        leafon        1        39        34        05/03/00        7039034000012450        00124        
        12        leafon        2        40        31        07/13/00        7040031000019550        00195        
        12        leafon        2        40        32        07/13/00        7040032000019550        00195        
        12        leafon        3        40        33        08/14/00        7040033000022750        00227        
        12        leafon        4        40        34        06/11/00        7040034000016350        00163        
        12        leafon        5        41        31        07/10/02        7041031000219150        02191        
        12        leafon        6        41        32        07/20/00        7041032000020250        00202        
        12        leafon        7        41        33        07/20/00        7041033000020250        00202        
        12        leafon        7        41        34        07/20/00        7041034000020250        00202        
        12        leafon        8        42        31        07/27/00        7042031000020950        00209        
        12        leafon        8        42        32        07/27/00        7042032000020950        00209        
        12        leafon        8        42        33        07/27/00        7042033000020950        00209        
        12        leafon        8        42        34        07/27/00        7042034000020950        00209        
        12        leafon        9        43        31        06/30/99        7043031009918150        99181        
        12        leafon       10        43        32        07/16/99        7043032009919750        99197        
        12        leafon       11        43        33        07/18/00        7043033000020050        00200        
        12        leafon       12        44        32        07/28/01        7044032000120950        01209
        12        leafoff       1        39        34        10/08/99        7039034009928150        99281        
        12        leafoff       2        40        31        10/15/99        7040031009928850        99288        
        12        leafoff       3        40        32        09/29/99        7040032009927250        99272        
        12        leafoff       2        40        33        10/15/99        7040033009928850        99288        
        12        leafoff       2        40        34        10/15/99        7040034009928850        99288        
        12        leafoff       4        41        31        09/04/99        7041031009924750        99247        
        12        leafoff       4        41        32        09/04/99        7041032009924750        99247        
        12        leafoff       5        41        33        10/08/00        7041033000028250        00282        
        12        leafoff       5        41        34        10/08/00        7041034000028250        00282        
        12        leafoff       6        42        31        09/27/99        7042031009927050        99270        
        12        leafoff       7        42        32        09/11/99        7042032009925450        99254        
        12        leafoff       6        42        33        09/27/99        7042033009927050        99270        
        12        leafoff       8        42        34        10/18/01        7042034000129150        01291        
        12        leafoff       9        43        31        10/06/00        7043031000028050        00280        
        12        leafoff      10        43        32        10/20/99        7043032009929350        99293        
        12        leafoff       9        43        33        10/06/00        7043033000028050        00280        
        12        leafoff      11        44        32        10/19/02        7044032000229250        02292      
        13        spring        1        38        34        04/26/00        7038034000011750        00117
        13        spring        2        38        36        04/10/00        7038036000010150        00101
        13        spring        3        38        37        03/25/00        7038037000008550        00085
        13        spring        4        39        34        05/03/00        7039034000012450        00124
        13        spring        5        39        35        04/01/00        7039035000009250        00092
        13        spring        5        39        36        04/01/00        7039036000009250        00092
        13        spring        6        39        37        03/22/02        7039037000208150        02081
        13        spring        7        40        34        04/08/00        7040034000009950        00099
        13        spring        7        40        35        04/08/00        7040035000009950        00099
        13        spring        8        40        36        04/09/03        5040036000309910        03099
        13        spring        9        40        37        02/25/02        7040037000205650        02056
        13        spring        7        41        34        04/08/03        7041034000309850        03098
        13        spring        7        41        35        04/08/03        7041035000309850        03098
        13        spring       10        41        36        03/04/02        7041036000206350        02063
        13        leafon        1        38        34        05/31/01        7038034000115150        01151        
