"id","x","y","eame","heth"
2543,612790.5575,498810.1429,0,1
2544,616523.9959,500987.6448,0,0
2545,613664.965,499975.106,0,0
2546,615935.618,501357.677,0,1
2547,614140.0911,499848.7521,0,1
2548,615849.1366,503651.9568,0,1
2549,618209.6137,490889.8922,1,1
2550,617928.3361,493323.3728,0,1
2551,618201.0602,491757.541,1,0
2552,616154.3247,494200.941,0,0
2553,616368.0317,492485.2696,0,0
2554,675576.6445,333104.19,0,0
2555,672075.8689,331908.6469,0,1
2556,672251.9595,331424.8191,0,0
2557,676163.6268,331493.1932,0,0
2558,674717.65,333144.4135,0,0
2559,649367.9819,333249.9276,0,0
2560,676823.1858,335333.2875,1,0
2561,681753.9081,334295.3545,0,0
2562,678076.7818,334951.4519,0,0
2563,676871.1971,333793.1553,0,0
2564,677149.1704,324425.5225,0,0
2565,679848.6089,328351.4568,0,0
2566,678729.6032,325088.0809,0,0
2567,678691.0947,326347.2874,0,0
2568,680310.3319,326750.0217,0,0
2569,531733.365,330070.1786,0,0
2570,534847.8304,329035.7098,1,0
2571,534701.9145,330629.0647,0,0
2572,531066.1577,330330.0352,0,0
2573,531910.6981,327252.972,0,0
2574,533783.1041,327677.4424,0,1
2575,534351.4651,328391.614,1,0
2576,535130.269,330485.6376,0,0
2577,530970.7343,329796.8044,0,0
2578,530197.1509,327091.3541,0,1
2579,533283.9352,327121.1566,0,0
2580,534133.8228,327963.5845,1,0
2581,537989.6842,334777.2878,0,0
2582,540151.1421,334250.3283,0,0
2583,539513.8126,333157.8561,0,0
2584,539006.4164,334967.7706,0,1
2585,539706.1834,335965.9809,0,0
2586,536336.5471,325206.5705,0,1
2587,540208.4091,322682.7287,1,0
2588,537970.7062,323072.8796,0,1
2589,536490.1402,324320.7113,0,1
2590,539029.9836,322878.0989,1,0
2591,536337.7754,323024.3116,0,1
2592,610198.9496,439606.144,0,0
2593,612428.992,439103.0151,0,0
2594,610693.3808,439605.2313,0,0
2595,614062.6432,439064.1776,0,0
2596,612788.6555,441075.6936,0,1
2597,617189.3562,448080.4441,0,0
2598,617394.8046,445831.4669,0,0
2599,616581.8962,446953.6955,0,0
2600,615590.6978,447295.6801,0,0
2601,615252.3994,446937.4098,0,0
2602,616804.882,436816.7744,0,0
2603,616130.4372,437990.0156,0,0
2604,616506.4025,438792.1636,0,1
2605,618341.3382,435870.9619,0,0
2606,617717.601,436771.5048,0,0
2607,316483.2868,526025.0627,0,0
2608,316556.5266,528111.1383,0,0
2609,314988.0527,527895.8933,0,0
2610,317010.0399,525920.3307,0,0
2611,316449.0179,528680.6242,0,0
2612,320395.7504,533822.6934,0,0
2613,319126.2572,530501.2058,0,0
2614,323124.4768,531876.8384,0,0
2615,319403.2896,532398.4368,0,1
2616,319702.4223,529459.9006,0,0
2617,321825.8697,520002.4124,0,0
2618,319590.9454,520824.2202,0,1
2619,319585.8824,521611.6772,0,0
2620,320086.0881,520550.6362,0,0
2621,321157.547,520882.854,0,0
2622,633860.9565,357897.0772,0,0
2623,631046.9685,357626.4384,0,0
2624,634295.2642,359230.9739,1,0
2625,631001.1564,359025.4607,0,0
2626,632673.9669,357433.6957,0,0
2627,636511.2833,364946.349,0,0
2628,638002.9673,363573.8352,1,0
2629,640158.6775,363751.1823,0,0
2630,636168.8643,360603.119,0,0
2631,638892.3706,364338.4351,0,0
2632,639794.5153,352869.1369,0,0
2633,640845.189,354291.1986,0,0
2634,636011.7322,352141.5012,0,0
2635,639166.0598,354541.0549,0,0
2636,637003.7925,355259.4671,0,0
2637,575150.7845,355482.2033,0,1
2638,572186.3027,358065.2003,0,1
2639,570988.6425,355645.7719,0,0
2640,572628.3717,356167.1675,0,0
2641,570759.242,358039.771,0,0
2642,579769.5841,361440.8649,0,0
2643,576209.8787,360882.3612,0,0
2644,580262.181,359786.9918,1,0
2645,577000.6447,360541.4129,0,0
2646,579452.6736,362112.2406,0,0
2647,576402.592,354078.7264,0,0
2648,579933.2118,350273.053,0,0
2649,578744.6296,352488.3615,0,0
2650,579114.5542,350877.7734,0,0
2651,579772.2213,354115.7506,0,0
